,Date,Speaker,Topic
0,2018-08-23,Keven,Order of Mag.
1,2018-08-30,Robert,Arxiv Paper
2,2018-09-06,Stephi,Classical Review
3,2018-09-13,Adam,Order of Mag.
4,2018-09-20,Benjamin,Arxiv Paper
5,2018-09-27,Alex,Classical Review
6,2018-10-04,Oliver,Order of Mag.
7,2018-10-11,Keven,Arxiv Paper
8,2018-10-18,Robert,Classical Review
9,2018-10-25,Stephi,Order of Mag.
10,2018-11-01,Adam,Arxiv Paper
11,2018-11-08,Benjamin,Classical Review
12,2018-11-15,Alex,Order of Mag.
13,2018-11-22,Oliver,Arxiv Paper
14,2018-11-29,Keven,Classical Review
15,2018-12-06,Robert,Order of Mag.
16,2018-12-13,Stephi,Arxiv Paper
17,2018-12-20,Adam,Classical Review
18,2018-12-27,Benjamin,Order of Mag.
